style_keyword,count
geometric,79
minimalist,67
monochrome,51
bold type,49
type-as-image,42
playful,31
typographic,23
modernist,23
layered,20
vibrant,16
collage,15
halftone,14
abstract,13
3d,13
experimental,12
retro,11
futurist,10
textured,9
bold,9
riso,8
kinetic type,7
psychedelic,7
chaotic,6
deconstructivist,6
gradient,6
vintage,6
illustrative,5
color-field,5
contrast,5
neon,5
conceptual,5
info-dense,5
organic,4
modular,4
duotone,4
clean,4
rave,4
dynamic,4
optical illusion,3
digital glitch,3
distorted,3
pixelated,3
surreal,3
grunge,3
line art,2
fluid,2
expressive,2
pastel,2
classical,2
contemporary,2
botanical,2
nighttime,1
ascii art,1
ornamental,1
festive,1
groovy,1
overprint,1
elegant,1
whimsical,1
fantasy,1
gothic,1
engraving,1
comic style,1
blurred,1
mesh,1
dark,1
cinematic,1
modern,1
asymmetrical,1
ominous,1
close-up,1
summer,1
fashion,1
editorial,1
silhouette,1
portraiture,1
sculptural,1
